Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
Canada,0.65,0.64,0.63,0.68,0.66,0.71,0.67,0.64,0.65,0.67,0.65,0.77,0.98,0.81,0.76,0.93,0.95,1.0,1.05,1.17,1.12,1.04,1.12,1.2,1.2,1.14,1.1,1.12,0.99,1.05,1.1,1.13,1.18,1.26,1.21,1.28,1.33,1.34,1.33,1.26,1.25,1.21,1.27,1.21,1.01,1.03,0.93,0.88,0.86,0.82,0.82,0.77,0.8,0.65,0.61,0.53,0.5,0.39,-22.4,-7.9,0.2
Mexico,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.09,0.07,0.09,0.1,0.1,0.1,0.09,0.1,0.12,0.12,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.16,0.19,0.21,0.24,0.24,0.25,0.25,0.27,0.3,0.5,0.37,0.38,0.48,0.52,0.47,0.42,0.43,0.53,0.62,0.54,0.53,0.53,0.53,0.52,0.64,0.57,0.54,0.24,0.2,0.25,26.6,-7.3,0.2
US,11.61,12.17,11.94,12.36,12.41,12.29,11.63,12.1,13.0,12.69,12.69,13.62,13.95,13.8,15.07,15.46,15.94,15.36,15.93,17.11,17.52,17.3,18.05,18.89,19.11,19.22,19.04,19.17,19.88,19.96,20.13,21.05,21.49,21.71,21.67,22.63,21.96,21.95,22.37,22.52,22.85,22.5,22.8,22.44,19.74,20.88,19.7,17.42,18.08,18.04,15.58,14.26,13.87,13.28,11.34,9.2,10.57,9.87,-6.7,-5.5,6.1
Total North America,12.28,12.84,12.61,13.08,13.11,13.05,12.36,12.8,13.72,13.43,13.42,14.45,15.03,14.7,15.93,16.48,16.98,16.46,17.1,18.39,18.77,18.48,19.3,20.22,20.45,20.49,20.27,20.43,21.03,21.2,21.45,22.42,22.91,23.21,23.13,24.18,23.59,23.8,24.08,24.16,24.58,24.23,24.55,24.07,21.18,22.45,21.25,18.84,19.48,19.39,16.94,15.55,15.3,14.5,12.5,9.98,11.27,10.51,-6.8,-5.6,6.5
Argentina,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.03,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.05,0.05,0.03,0.04,0.05,0.05,2.5,0.5,0.0
Brazil,0.07,0.08,0.08,0.08,0.09,0.1,0.1,0.11,0.11,0.11,0.13,0.14,0.18,0.21,0.23,0.25,0.24,0.26,0.29,0.35,0.42,0.42,0.44,0.45,0.45,0.4,0.46,0.45,0.46,0.47,0.5,0.51,0.51,0.5,0.51,0.54,0.54,0.52,0.54,0.56,0.54,0.54,0.57,0.58,0.47,0.61,0.65,0.64,0.69,0.73,0.74,0.67,0.7,0.69,0.65,0.59,0.71,0.59,-17.8,-0.9,0.4
Chile,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.03,0.04,0.05,0.05,0.05,0.05,0.07,0.09,0.11,0.09,0.08,0.08,0.09,0.1,0.14,0.18,0.17,0.17,0.13,0.11,0.11,0.1,0.12,0.12,0.14,0.17,0.18,0.17,0.19,0.24,0.28,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.26,0.29,0.22,-24.6,-2.4,0.1
Colombia,0.08,0.08,0.09,0.08,0.09,0.09,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.12,0.13,0.13,0.16,0.13,0.15,0.07,0.08,0.14,0.15,0.17,0.15,0.12,0.14,0.13,0.11,0.11,0.11,0.09,0.1,0.09,0.06,0.16,0.14,0.19,0.17,0.2,0.16,0.2,0.21,0.22,0.21,0.23,0.17,0.16,0.19,0.17,0.11,0.1,-9.4,-6.3,0.1
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,19.9,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.03,36.1,-2.2,0.0
